iter	Passed	Remaining
606	7797	5048
607	7826	5045
608	7852	5041
609	7879	5037
610	7906	5033
611	7932	5028
612	7954	5022
613	7978	5016
614	8017	5018
615	8063	5026
616	8099	5027
617	8127	5023
618	8155	5019
619	8186	5017
620	8209	5010
621	8237	5005
622	8267	5003
623	8298	5000
624	8328	4997
625	8354	4991
626	8382	4986
627	8416	4985
628	8445	4981
629	8495	4989
630	8538	4993
631	8572	4991
632	8609	4991
633	8873	5122
634	9295	5343
635	9508	5442
636	9604	5473
637	9666	5484
638	9801	5537
639	9984	5616
640	10022	5613
641	10049	5603
642	10070	5591
643	10093	5579
644	10114	5566
645	10136	5554
646	10157	5541
647	10180	5530
648	10203	5518
649	10236	5512
650	10317	5531
651	10505	5607
652	10697	5684
653	10999	5819
654	11098	5845
655	11122	5832
656	11146	5819
657	11168	5804
658	11191	5790
659	11213	5776
660	11236	5762
661	11259	5748
662	11280	5733
663	11300	5718
664	11322	5703
665	11344	5689
666	11365	5674
667	11389	5660
668	11464	5672
669	11517	5672
670	11573	5674
671	11619	5671
672	11663	5667
673	11704	5661
674	11728	5647
675	11746	5629
676	11757	5609
677	11767	5588
678	11778	5568
679	11789	5547
680	11799	5527
681	11809	5506
682	11819	5485
683	11831	5465
684	11840	5445
685	11851	5424
686	11861	5404
687	11873	5384
688	11882	5363
689	11893	5343
690	11904	5323
691	11917	5304
692	11930	5285
693	11942	5265
694	11953	5245
695	11970	5228
696	11982	5208
697	11994	5189
698	12006	5170
699	12018	5150
700	12030	5131
701	12041	5111
702	12053	5092
703	12063	5072
704	12075	5052
705	12088	5033
706	12101	5015
707	12114	4996
708	12127	4977
709	12135	4956
710	12144	4936
711	12155	4916
712	12164	4896
713	12173	4876
714	12182	4855
715	12190	4835
716	12198	4814
717	12206	4794
718	12215	4773
719	12224	4753
720	12232	4733
721	12240	4713
722	12248	4692
723	12256	4672
724	12264	4652
725	12272	4631
726	12280	4611
727	12288	4591
728	12297	4571
729	12310	4553
730	12322	4534
731	12334	4516
732	12344	4496
733	12351	4476
734	12359	4456
735	12368	4436
736	12377	4417
737	12387	4397
738	12396	4378
739	12405	4358
740	12414	4339
741	12424	4320
742	12433	4300
743	12443	4281
744	12455	4263
745	12469	4245
746	12481	4227
747	12494	4209
748	12505	4190
749	12519	4173
750	12531	4154
751	12543	4136
752	12555	4118
753	12567	4100
754	12580	4082
755	12593	4064
756	12606	4046
757	12620	4029
758	12632	4011
759	12657	3996
760	12667	3978
761	12680	3960
762	12692	3942
763	12703	3924
764	12712	3905
765	12723	3886
766	12732	3867
767	12740	3848
768	12747	3829
769	12756	3810
770	12764	3791
771	12772	3772
772	12780	3753
773	12787	3733
774	12795	3714
775	12802	3695
776	12810	3676
777	12819	3657
778	12827	3639
779	12835	3620
780	12842	3601
781	12850	3582
782	12858	3563
783	12866	3544
784	12874	3526
785	12881	3507
786	12889	3488
787	12897	3469
788	12904	3451
789	12913	3432
790	12920	3413
791	12929	3395
792	12936	3376
793	12944	3358
794	12952	3339
795	12959	3321
796	12968	3303
797	12976	3284
798	12984	3266
799	12991	3247
800	12999	3229
801	13007	3211
802	13015	3193
803	13023	3174
804	13031	3156
805	13039	3138
806	13048	3120
807	13057	3102
808	13066	3084
809	13075	3067
810	13086	3049
811	13096	3032
812	13107	3014
813	13118	2997
814	13130	2980
815	13145	2964
816	13157	2947
817	13169	2930
818	13181	2913
819	13193	2896
820	13206	2879
821	13219	2862
822	13233	2846
823	13245	2829
824	13258	2812
825	13271	2795
826	13280	2778
827	13291	2761
828	13301	2743
829	13311	2726
830	13320	2709
831	13329	2691
832	13337	2673
833	13345	2656
834	13354	2638
835	13363	2621
836	13371	2604
837	13380	2586
838	13389	2569
839	13397	2551
840	13405	2534
841	13413	2517
842	13421	2499
843	13430	2482
844	13439	2465
845	13448	2447
846	13456	2430
847	13465	2413
848	13474	2396
849	13484	2379
850	13494	2362
851	13504	2345
852	13514	2328
853	13525	2312
854	13549	2297
855	13563	2281
856	13573	2264
857	13582	2247
858	13592	2231
859	13601	2214
860	13612	2197
861	13622	2180
862	13632	2164
863	13646	2148
864	13658	2131
865	13668	2114
866	13680	2098
867	13692	2082
868	13706	2066
869	13719	2049
870	13730	2033
871	13744	2017
872	13757	2001
873	13771	1985
874	13783	1969
875	13810	1954
876	13823	1938
877	13836	1922
878	13851	1906
879	13862	1890
880	13871	1873
881	13880	1857
882	13889	1840
883	13898	1823
884	13907	1807
885	13918	1790
886	13926	1774
887	13936	1757
888	13947	1741
889	13957	1725
890	13968	1708
891	13978	1692
892	13987	1676
893	13997	1659
894	14007	1643
895	14016	1626
896	14026	1610
897	14035	1594
898	14045	1577
899	14056	1561
900	14066	1545
901	14075	1529
902	14084	1512
903	14094	1496
904	14102	1480
905	14111	1464
906	14120	1447
907	14129	1431
908	14137	1415
909	14146	1399
910	14155	1382
911	14163	1366
912	14171	1350
913	14179	1334
